jockey_name,track_code,wins,win_pct,starts,surface,source_page,year
"Gonzalez, Pedro",ALL,4,12.1,33,,2081,2025
"Houghton, T. D.",ALL,42,14.6,287,,2081,2025
"Gonzalez, Ricardo",ALL,34,9.6,356,,2081,2025
"Hoyte, Jason",ALL,9,5.0,181,,2081,2025
"Gonzalez, Santiago",ALL,79,15.2,521,,2081,2025
"Huaman, Luis A.",ALL,0,0.0,1,,2081,2025
"Gonzalez, Silvestre",ALL,74,13.4,554,,2081,2025
"Huayas, Gherson (Jason)",ALL,0,0.0,4,,2081,2025
"Gonzalez Carrillo, Jesus",ALL,0,0.0,2,,2081,2025
"Huckaby, Ronnie",ALL,22,8.6,255,,2081,2025
"Gonzalez Sanchez, Jorge L.",ALL,9,5.0,181,,2081,2025
"Hughes, Rasheed",ALL,46,16.5,279,,2081,2025
"Gonzalez, Jr., Franklin",ALL,24,6.3,380,,2081,2025
"Husbands, Christopher",ALL,41,19.6,209,,2081,2025
"Gordon, Garfield",ALL,13,12.4,105,,2081,2025
"Husbands, Micah J.",ALL,70,17.2,406,,2081,2025
"Graham, James",ALL,36,9.0,398,,2081,2025
"Husbands, Neil S.",ALL,0,0.0,1,,2081,2025
"Green, Aubrie",ALL,12,10.0,120,,2081,2025
"Husbands, Patrick",ALL,30,18.0,167,,2081,2025
"Greenidge, Elijah",ALL,18,4.8,374,,2081,2025
"Husbands, Terry",ALL,7,20.6,34,,2081,2025
"Griffith, Rashaun Delane Tristan",ALL,8,11.8,68,,2081,2025
"Infante, Ferley A.",ALL,0,0.0,25,,2081,2025
"Grisales Rave, Danilo",ALL,10,16.1,62,,2081,2025
"Iniguez, Salvador",ALL,0,0.0,1,,2081,2025
"Guerra, Rodolfo",ALL,6,5.0,121,,2081,2025
"Inirio, Junior",ALL,2,4.7,43,,2081,2025
"Guerrero, Jose Andres",ALL,37,14.1,263,,2081,2025
"Inirio, Maicol J.",ALL,30,9.7,308,,2081,2025
"Guerrero, Jose C.",ALL,8,10.3,78,,2081,2025
"Iorio, Melissa",ALL,24,8.3,289,,2081,2025
"Gutierrez, Jose Ramos",ALL,49,10.1,483,,2081,2025
"Ironeyes, Jayden R.",ALL,36,8.1,445,,2081,2025
"Gutierrez, Juan M.",ALL,16,17.8,90,,2081,2025
"Jadoo, Steve",ALL,1,8.3,12,,2081,2025
"Gutierrez, Mario",ALL,33,11.3,291,,2081,2025
"Jaime, Ricardo",ALL,6,5.6,108,,2081,2025
"Gutierrez, Reylu",ALL,80,15.4,519,,2081,2025
"Jara, Fernando",ALL,26,8.4,309,,2081,2025
"Haar, Nathan",ALL,54,14.6,370,,2081,2025
"Jaramillo, Emisael",ALL,154,19.5,791,,2081,2025
"Haddock, Dexter",ALL,84,12.3,683,,2081,2025
"Jasim, A. Rahim",ALL,1,16.7,6,,2081,2025
"Haldar, David J.",ALL,42,11.3,372,,2081,2025
"Jensen, Vladimir P.",ALL,10,7.6,132,,2081,2025
"Halliday, Vince",ALL,0,0.0,5,,2081,2025
"Jimenez, Albin",ALL,100,20.8,481,,2081,2025
"Hamilton, Weston",ALL,37,6.9,533,,2081,2025
