Date,Track,Race,Field,Top Pick,Bet Type,Selection,Units,Composite,GEM,Confidence,Pace,Win%,Place%,Value,Result,Notes,actual_result,actual_pl,win_bet_pl,place_bet_pl,show_bet_pl,combined_straight_pl
2026-04-12,AQU,5,7,MY DAUGHTERS' GIFT,EXACTA_BOX,MY DAUGHTERS' GIFT / KEF,0.25,16,NO,MEDIUM,SLOW,32.7%,54.5%,STRONG_EV,MISS,STRESS_TEST ARM2026 AQU R5 | SCORE=16 | CONF=MEDIUM | PACE=SLOW | GEM=NO,MISS,-0.25,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,5,7,MY DAUGHTERS' GIFT,TRIFECTA_BOX,MY DAUGHTERS' GIFT / KEF / GOLDEN MIRACLE,0.25,16,NO,MEDIUM,SLOW,32.7%,54.5%,STRONG_EV,MISS,STRESS_TEST ARM2026 AQU R5 | SCORE=16 | CONF=MEDIUM | PACE=SLOW | GEM=NO,MISS,-0.25,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,5,7,MY DAUGHTERS' GIFT,SUPERFECTA_BOX,MY DAUGHTERS' GIFT / KEF / GOLDEN MIRACLE / HOUDINI'S BRIDE,0.25,16,NO,MEDIUM,SLOW,32.7%,54.5%,STRONG_EV,MISS,STRESS_TEST ARM2026 AQU R5 | SCORE=16 | CONF=MEDIUM | PACE=SLOW | GEM=NO,MISS,-0.25,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,6,8,JACKSON'S DIXIE,WIN,JACKSON'S DIXIE,1.0,19,YES,HIGH,SLOW,42.5%,63.3%,STRONG_EV,LOSS,STRESS_TEST ARM2026 AQU R6 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,LOSS,-1.0,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,6,8,JACKSON'S DIXIE,PLACE,JACKSON'S DIXIE,1.0,19,YES,HIGH,SLOW,42.5%,63.3%,STRONG_EV,LOSS,STRESS_TEST ARM2026 AQU R6 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,LOSS,-1.0,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,6,8,JACKSON'S DIXIE,SHOW,JACKSON'S DIXIE,1.0,19,YES,HIGH,SLOW,42.5%,63.3%,STRONG_EV,LOSS,STRESS_TEST ARM2026 AQU R6 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,LOSS,-1.0,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,6,8,JACKSON'S DIXIE,EXACTA_BOX,JACKSON'S DIXIE / PROUD FOOT,0.5,19,YES,HIGH,SLOW,42.5%,63.3%,STRONG_EV,MISS,STRESS_TEST ARM2026 AQU R6 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,MISS,-0.5,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,6,8,JACKSON'S DIXIE,TRIFECTA_BOX,JACKSON'S DIXIE / PROUD FOOT / DESPO'S DREAM,0.5,19,YES,HIGH,SLOW,42.5%,63.3%,STRONG_EV,MISS,STRESS_TEST ARM2026 AQU R6 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,MISS,-0.5,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,6,8,JACKSON'S DIXIE,SUPERFECTA_BOX,JACKSON'S DIXIE / PROUD FOOT / DESPO'S DREAM / PRINCESS BECCA,0.5,19,YES,HIGH,SLOW,42.5%,63.3%,STRONG_EV,MISS,STRESS_TEST ARM2026 AQU R6 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,MISS,-0.5,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,8,8,LOOMS BOLDLY,WIN,LOOMS BOLDLY,1.0,19,YES,HIGH,SLOW,44.3%,70.8%,STRONG_EV,LOSS,STRESS_TEST ARM2026 AQU R8 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,LOSS,-1.0,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,8,8,LOOMS BOLDLY,PLACE,LOOMS BOLDLY,1.0,19,YES,HIGH,SLOW,44.3%,70.8%,STRONG_EV,LOSS,STRESS_TEST ARM2026 AQU R8 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,LOSS,-1.0,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,8,8,LOOMS BOLDLY,SHOW,LOOMS BOLDLY,1.0,19,YES,HIGH,SLOW,44.3%,70.8%,STRONG_EV,LOSS,STRESS_TEST ARM2026 AQU R8 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,LOSS,-1.0,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,8,8,LOOMS BOLDLY,EXACTA_BOX,LOOMS BOLDLY / TEN CENT TOWN,0.5,19,YES,HIGH,SLOW,44.3%,70.8%,STRONG_EV,MISS,STRESS_TEST ARM2026 AQU R8 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,MISS,-0.5,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,8,8,LOOMS BOLDLY,TRIFECTA_BOX,LOOMS BOLDLY / TEN CENT TOWN / CLANCY FANCY,0.5,19,YES,HIGH,SLOW,44.3%,70.8%,STRONG_EV,MISS,STRESS_TEST ARM2026 AQU R8 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,MISS,-0.5,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,8,8,LOOMS BOLDLY,SUPERFECTA_BOX,LOOMS BOLDLY / TEN CENT TOWN / CLANCY FANCY / MILES AHEAD,0.5,19,YES,HIGH,SLOW,44.3%,70.8%,STRONG_EV,MISS,STRESS_TEST ARM2026 AQU R8 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,MISS,-0.5,-1.0,-1.0,-1.0,-3.0
2026-04-12,GPX,3,7,SPIRIT OF JAMAICA,WIN,SPIRIT OF JAMAICA,0.5,15,NO,MEDIUM,SLOW,32.6%,55.6%,STRONG_EV,LOSS,STRESS_TEST ARM2026 GPX R3 | SCORE=15 | CONF=MEDIUM | PACE=SLOW | GEM=NO,LOSS,-0.5,-1.0,-1.0,-1.0,-3.0
